,shop_id,shop_name,rating_bad,rating_good,rating_normal,rating_star,place,create_time
66,783734127,mi_saigon_lt,26,2021,51,4.810028,"Quận Tân Bình, TP. Hồ Chí Minh",1653982146
67,79898090,sjcamvietnam1,2,231,5,4.847458,"Quận Hà Đông, Hà Nội",1531903975
68,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
69,19576196,ontek_dashcam,86,2710,112,4.732799,"Huyện Thanh Trì, Hà Nội",1491226775
70,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
71,822616743,phukiendochoixe,5,1734,4,4.974209,"Quận Thanh Xuân, Hà Nội",1658310173
72,667164735,ddpaiofficial,8,1022,10,4.92885,"Quận Bình Tân, TP. Hồ Chí Minh",1643103586
73,667164735,ddpaiofficial,8,1022,10,4.92885,"Quận Bình Tân, TP. Hồ Chí Minh",1643103586
74,21078602,trumcongnghe,268,17752,368,4.847441,"Quận Ngô Quyền, Hải Phòng",1493179370
75,53355040,tueminhcar,22,3400,43,4.90625,"Quận Long Biên, Hà Nội",1516529218
76,251967117,phukienotocarstore98,33,2960,85,4.841571,"Quận Bắc Từ Liêm, Hà Nội",1587352684
77,3075268,zestore.vn,802,97195,2429,4.866745,"Quận Bắc Từ Liêm, Hà Nội",1454205168
78,171571510,phukienvietphuong,271,58211,761,4.923388,"Quận Tân Bình, TP. Hồ Chí Minh",1566234198
79,833842081,asawin.vn,8,535,15,4.863139,,1659604028
80,646662818,officialstore70mai,40,6096,65,4.910938,"Quận Bình Tân, TP. Hồ Chí Minh",1641376519
81,780073103,saigonhometech,31,4505,46,4.892776,"Quận Tân Bình, TP. Hồ Chí Minh",1653531522
82,500345851,mossovy02.vn,193,4143,252,4.634607,,1627639296
83,238323920,fasvineveryone,11,546,20,4.772085,"Quận Thanh Xuân, Hà Nội",1584942641
84,3075268,zestore.vn,802,97195,2429,4.866745,"Quận Bắc Từ Liêm, Hà Nội",1454205168
85,35463152,hoangtuanshopvn,316,12966,499,4.769273,"Huyện Hoài Đức, Hà Nội",1505890480
86,187645888,xedienmiennam,1,401,11,4.895522,"Thành Phố Biên Hòa, Đồng Nai",1570811614
87,77067677,quanlinhshop,8,4054,35,4.927218,"Quận Thanh Xuân, Hà Nội",1530417434
88,191264266,dienmaycenterofficial,93,13258,261,4.885424,"Quận Hà Đông, Hà Nội",1571881273
89,158030457,minhhanauto_phukienoto268,35,1098,33,4.762787,"Quận Hà Đông, Hà Nội",1561482040
90,822616743,phukiendochoixe,5,1734,4,4.974209,"Quận Thanh Xuân, Hà Nội",1658310173
91,463832370,evean4.vn,9,195,17,4.59633,,1623318344
92,865589135,shopcamerahanhtrinhxetabon,5,455,1,4.943478,"Quận Thanh Xuân, Hà Nội",1663378006
93,59469433,ontekco.official.store,98,3660,93,4.76467,"Huyện Thanh Trì, Hà Nội",1520330477
94,115715604,evean.vn,100,1352,102,4.520683,,1545363009
95,18418359,thanhthuyleqn,783,49144,1663,4.8107,"Huyện Hoài Đức, Hà Nội",1489780434
