,id,sku,short_description,price,list_price,discount,discount_rate,review_count,quantity_sold,cs_id,cs_name,stock_item,inventory_status,product_name,brand_id,brand_name,location
396,15213299,2631427600009,"Camera IP hồng ngoại không dây 2.0 Megapixel EZVIZ CS-CV310-A0-1C2WFR là phiên bản camera thông minh cao cấp hơn của EZVIZ được thiết kế lắp đặt ngoài trời, với chức năng giám sát thông minh tự động...",850000,850000,0,0,1,13,265319,Shop Phân Phối Camera,1000,available,Camera IP wifi chống nước CS-CV310 1080P ( C3WN) - Hàng chính hãng ,247217,EZVIZ,Trong nước
397,133775418,1133777091345,"Camera quan sát 5Mp góc rộng 360Thông tin sản phẩm:Độ phân giải: 5.0mp cho hình ảnh rõ nétLed hồng ngoại: 3 led lớn giúp quan sát khoảng cách lên đến 20mQuan sát cả ngày và đêmTương thích, phù hợ...",900000,900000,0,0,0,5,49342,GOODTECH,1000,available,Camera quan sát 5Mp góc rộng 360,111461,OEM,Trong nước
398,117801697,7671317851346,        Thông tin cơ bản của Camera wifi ezviz C3WN 1080P:   + Tích hợp micrô khử tiếng ồn tích hợp cho phép bạn nghe được những gì đang xảy ra với âm thanh chất lượng cao.   + Độ phân giải HD 1...,809900,809900,0,0,0,5,190641,Phụ kiên máy tính TB,1000,available,"Camera wifi thông minh ngoài trời Ezviz C3WN 2MP-1080,Camera không dây chống nước- Hàng Chính Hãng",247217,EZVIZ,Trong nước
399,126594967,9703775883366,"       • Camera KBVISION Độ phân giải 2 MPixel cảm biến CMOS kích thước 1/2.7”, 25/30fps@2.0M(1920×1080)   • Ống kính cố định 2,8mm cho góc nhìn 112°(H), 58°(V), 131°(D)   • Chuẩn nén H.265, độ ...",575000,575000,0,0,0,0,0,,0,upcoming,Camera IP KN-H21W - Hàng Chính Hãng,274575,KBOne,Trong nước
400,198254368,5511949556293,"Cruiser SE 4MP cung cấp khả năng giám sát trực tiếp 4MP với lựa chọn ống kính 3,6mm/ 6mm. Khả năng ghi hình trực tiếp độ phân giải 2K đi kèm các tính năng xoay 355 độ, có màu về đêm, phát hiện dáng n...",1265000,2300000,1035000,45,2,3,302021,IMOU OFFICIAL STORE,1000,available,Camera Wifi Imou Cruiser SE (4MP) I Phát hiện con người I Đèn spotlight cảnh báo I 4 chế độ ban đêm I Hàng chính hãng,416097,IMOU,Trong nước
401,176187808,7631912694581,"Thông số kỹ thuật camera Wifi quay quét EZVIZ C8PF 2MP– Model: CS-C8PF (1080P)– Cảm biến hình ảnh: CMOS quét lũy tiến 1/2,7″ kép.– Độ phân giải tối đa: 1920 x 1080.– Chuẩn nén video: H.265/H.264.– Cư...",1593600,1660000,66400,4,1,4,190690,Hào Luân Store,1000,available,"Camera IP Wifi EZVIZ C8PF ống kính kép PTZ, theo dõi và cảnh báo chuyển động - Hàng chính hãng - không thẻ",247217,EZVIZ,Trong nước
402,534143,2100276495376,"Thiết kế hiện đại Camera IP Quan Sát Foscam FI9800P là sự kết hợp hoàn hảo của công nghệ và vẻ đẹp. Lấy ý tưởng của hình viên đạn, mẫu camera ip FI9800P được ra mắt với thiết kế ấn tượng và hiện đại,...",1848001,1848001,0,0,0,7,1,Tiki Trading,1000,available,Camera IP Quan Sát Foscam FI9800P - Xám - Hàng Chính Hãng,41268,FOSCAM,Trong nước
403,25283141,8978030895007,Camera IP Yoosee 3 Râu – 1080P mới là phiên bản nâng cấp của thế hệ camera 2 râu cũ. Ngoài sự kế thừa những tính năng vượt trội của đàn anh. Camera IP không dây YooSee 3 râu được bổ sung nhiều tính nă...,480000,480000,0,0,0,2,265319,Shop Phân Phối Camera,1000,available,Camera Yoosee 1080P Tiếng Việt tặng thẻ 64GB _ Hàng Nhập khẩu,111625,Yoosee,Trong nước
404,75831435,1030732549019,"Với diện mạo khác biệt, camera EZVIZ C8C sẽ giúp bạn bảo vệ ngôi nhà theo phong cách hoàn toàn mới: không chỉ chuyên nghiệp và an toàn mà còn thật Kool. Đây là camera an ninh ngoài trời EZVIZ C8C có k...",1350000,1350000,0,0,1,2,41149,Camera quan sát Mắt Việt,1000,available,"Camera Ip EZVIZ C8C hồng ngoại không dây Full HD 2.0 , camera xoay Wifi, có màu ban đêm ( Bản Quốc Tế Có Tiếng Việt ) - HÀNG CHÍNH HÃNG",247217,EZVIZ,Trong nước
405,205601972,6280286075071,"Một số thông số kỹ thuật sản phẩm:- Camera tích hợp bóng đèn- đàm thoại 2 chiều- Cảm biến ảnh: CMOS, H.264+Camera quan sát 360 hình bóng đèn Wifi Panorama Camera Aturos B13LN, Lightning 130W, ...",370500,390000,19500,5,0,5,265319,Shop Phân Phối Camera,1000,available,"Camera quan sát 360 hình bóng đèn Wifi Panorama Camera Aturos B13LN, Lightning 130W, kết nối không dây - Hàng nhập khẩu",171499,Aturos,Trong nước
